article_id,journal_key,journal_title_config,journal_title_crossref,publisher_family,article_url,doi,year,publication_date,volume,issue_number,pages,title,authors,article_type,crossref_subjects,abstract_text,n_keywords,keyword_extraction_status,keyword_source,source_file,title_raw,title_clean_initial,doi_norm,source_issue_url,journal_title,online_publication_date,in_scope_year
10.1080/16506073.2025.2465760,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2465760,10.1080/16506073.2025.2465760,2026,2026-1-2,55.0,1,16-34,Theoretic principles of rational emotive behavior therapy (REBT) and loneliness: a multinational replication of Hyland et al. (2019),Kory Floyd; Colter D. Ray; Colin Hesse,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Theoretic principles of rational emotive behavior therapy (REBT) and loneliness: a multinational replication of Hyland et al. (2019),Theoretic principles of rational emotive behavior therapy (REBT) and loneliness: a multinational replication of Hyland et al. (2019),10.1080/16506073.2025.2465760,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2465737,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2465737,10.1080/16506073.2025.2465737,2026,2026-1-2,55.0,1,1-15,The relationship between perfectionism and treatment outcomes among people receiving internet-based cognitive behaviour therapy for Generalised Anxiety Disorder,S. Tang; A. Mahoney; K. Dobinson; C. T. Shiner,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,The relationship between perfectionism and treatment outcomes among people receiving internet-based cognitive behaviour therapy for Generalised Anxiety Disorder,The relationship between perfectionism and treatment outcomes among people receiving internet-based cognitive behaviour therapy for Generalised Anxiety Disorder,10.1080/16506073.2025.2465737,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2464641,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2464641,10.1080/16506073.2025.2464641,2026,2026-1-2,55.0,1,117-127,Negative effects of psychotherapy and their differential association with long-term outcome: an observational study of an intensive day treatment program for depression,Svenja Sürig; Rachel Dale; Philipp Herzog; Sarah Glanert; Ulrike Grave; Nele Assmann; Bartosz Zurowski; Stefan Borgwardt; Jan Philipp Klein; Thomas Probst,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Negative effects of psychotherapy and their differential association with long-term outcome: an observational study of an intensive day treatment program for depression,Negative effects of psychotherapy and their differential association with long-term outcome: an observational study of an intensive day treatment program for depression,10.1080/16506073.2025.2464641,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2465745,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2465745,10.1080/16506073.2025.2465745,2026,2026-3-4,55.0,2,139-184,Cognitive-behavioural therapy (CBT) for outpatients with anorexia nervosa: a systematic review and meta-analysis of clinical effectiveness,Heather C. Duggan; Gillian Hardy; Glenn Waller,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Cognitive-behavioural therapy (CBT) for outpatients with anorexia nervosa: a systematic review and meta-analysis of clinical effectiveness,Cognitive-behavioural therapy (CBT) for outpatients with anorexia nervosa: a systematic review and meta-analysis of clinical effectiveness,10.1080/16506073.2025.2465745,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2474237,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2474237,10.1080/16506073.2025.2474237,2026,2026-1-2,55.0,1,35-52,A randomized controlled feasibility trial of a single-session metacognitive training intervention for reducing eating disorder risk factors,Matthew Thompson; Tracey D. Wade; Ryan P. Balzan,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,A randomized controlled feasibility trial of a single-session metacognitive training intervention for reducing eating disorder risk factors,A randomized controlled feasibility trial of a single-session metacognitive training intervention for reducing eating disorder risk factors,10.1080/16506073.2025.2474237,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2475168,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2475168,10.1080/16506073.2025.2475168,2026,2026-1-2,55.0,1,53-73,Barriers and facilitators to engagement with between-session work for low-intensity Cognitive Behavioural Therapy (CBT)-based interventions: a qualitative exploration of patient perceptions,Mia Bennion; Karina Lovell; Amy Blakemore; Penny Bee,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Barriers and facilitators to engagement with between-session work for low-intensity Cognitive Behavioural Therapy (CBT)-based interventions: a qualitative exploration of patient perceptions,Barriers and facilitators to engagement with between-session work for low-intensity Cognitive Behavioural Therapy (CBT)-based interventions: a qualitative exploration of patient perceptions,10.1080/16506073.2025.2475168,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2478246,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2478246,10.1080/16506073.2025.2478246,2026,2026-1-2,55.0,1,96-116,Exploring pathways from intolerance of uncertainty to worry in adults with generalised anxiety disorder,Emily J. Wilson; Maree J. Abbott; Alice R. Norton; David Berle; Ronald M. Rapee,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Exploring pathways from intolerance of uncertainty to worry in adults with generalised anxiety disorder,Exploring pathways from intolerance of uncertainty to worry in adults with generalised anxiety disorder,10.1080/16506073.2025.2478246,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2481312,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2481312,10.1080/16506073.2025.2481312,2026,2026-1-2,55.0,1,128-138,Negative posttraumatic cognitions and cognitive emotion regulation strategies as predictors of PTSD symptom change during an intensive outpatient program for PTSD,Jonathan W. Murphy; Marley Warren; Dale L. Smith; Sarah Pridgen; Philip Held,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Negative posttraumatic cognitions and cognitive emotion regulation strategies as predictors of PTSD symptom change during an intensive outpatient program for PTSD,Negative posttraumatic cognitions and cognitive emotion regulation strategies as predictors of PTSD symptom change during an intensive outpatient program for PTSD,10.1080/16506073.2025.2481312,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2481475,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2481475,10.1080/16506073.2025.2481475,2026,2026-3-4,55.0,2,185-203,Transitions to trauma-focused evidence-based psychotherapy for posttraumatic stress disorder from other treatments: a qualitative investigation of clinicians’ perspectives,Nicholas Holder; Rachel M. Ranney; Alejandra K. Delgado; Natalie Purcell; Gayle Y. Iwamasa; Adam Batten; Thomas C. Neylan; Brian Shiner; Shira Maguen,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Transitions to trauma-focused evidence-based psychotherapy for posttraumatic stress disorder from other treatments: a qualitative investigation of clinicians’ perspectives,Transitions to trauma-focused evidence-based psychotherapy for posttraumatic stress disorder from other treatments: a qualitative investigation of clinicians’ perspectives,10.1080/16506073.2025.2481475,,cognitive_behaviour_therapy,,False
10.1080/16506073.2025.2482155,cognitive_behaviour_therapy,Cognitive Behaviour Therapy,Cognitive Behaviour Therapy,taylor_francis,https://www.tandfonline.com/doi/full/10.1080/16506073.2025.2482155,10.1080/16506073.2025.2482155,2026,2026-3-4,55.0,2,204-222,Was it helpful? Treatment outcomes and practice assignment adherence and helpfulness among U.S. service members with PTSD and MDD,Kristen H. Walter; Nicholas P. Otis; Alexander C. Kline; Erin L. Miggantz; W. Michael Hunt; Lisa H. Glassman,journal-article,,,0,no_keywords_found,,cognitive_behaviour_therapy_articles.csv,Was it helpful? Treatment outcomes and practice assignment adherence and helpfulness among U.S. service members with PTSD and MDD,Was it helpful? Treatment outcomes and practice assignment adherence and helpfulness among U.S. service members with PTSD and MDD,10.1080/16506073.2025.2482155,,cognitive_behaviour_therapy,,False
