journal_key,n_articles,year_min,year_max,n_with_doi,n_with_abstract,n_unique_titles,doi_coverage_pct,abstract_coverage_pct
behaviour_research_and_therapy,3251,2005,2025,3251,0,2981,100.0,0.0
journal_consulting_clinical_psychology,2558,2005,2025,2558,0,2542,100.0,0.0
clinical_psychology_psychotherapy,1785,2005,2025,1785,1710,1727,100.0,95.8
psychotherapy_research,1581,2005,2025,1581,0,1548,100.0,0.0
arts_in_psychotherapy,1532,2005,2025,1532,0,1277,100.0,0.0
counselling_psychotherapy_research,1434,2005,2025,1434,1182,1362,100.0,82.43
psychotherapy,1392,2005,2025,1392,0,1378,100.0,0.0
psychology_psychotherapy_tprp,949,2005,2025,949,861,875,100.0,90.73
cognitive_behaviour_therapy,786,2005,2025,786,0,773,100.0,0.0
journal_psychotherapy_integration,711,2005,2025,711,0,701,100.0,0.0
