n_article_rows,n_unique_article_ids,n_keyword_rows,n_unique_keyword_raw,year_min,year_max,keyword_extraction_status_counts,keyword_source_counts,log_status_counts,source_file
1532,1532,0,0,2005,2025,{'no_keywords_found': 1532},{'': 1532},"{'no_keywords_found': 1532, 'crossref_query_ok': 2}",arts_in_psychotherapy_scrape_summary.json
3251,3251,0,0,2005,2025,{'no_keywords_found': 3251},{'': 3251},"{'no_keywords_found': 3251, 'crossref_query_ok': 2}",behaviour_research_and_therapy_scrape_summary.json
1785,1785,0,0,2005,2025,{'no_keywords_found': 1785},{'': 1785},"{'no_keywords_found': 1785, 'crossref_query_ok': 2}",clinical_psychology_psychotherapy_scrape_summary.json
811,811,0,0,2005,2026,{'no_keywords_found': 811},{'': 811},"{'no_keywords_found': 811, 'crossref_query_ok': 2}",cognitive_behaviour_therapy_scrape_summary.json
1434,1434,0,0,2005,2025,{'no_keywords_found': 1434},{'': 1434},"{'no_keywords_found': 1434, 'crossref_query_ok': 2}",counselling_psychotherapy_research_scrape_summary.json
2558,2558,0,0,2005,2025,{'no_keywords_found': 2558},{'': 2558},"{'no_keywords_found': 2558, 'crossref_query_ok': 2}",journal_consulting_clinical_psychology_scrape_summary.json
712,712,0,0,2005,2026,{'no_keywords_found': 712},{'': 712},"{'no_keywords_found': 712, 'crossref_query_ok': 2}",journal_psychotherapy_integration_scrape_summary.json
972,972,0,0,2005,2026,{'no_keywords_found': 972},{'': 972},"{'no_keywords_found': 972, 'crossref_query_ok': 2}",psychology_psychotherapy_tprp_scrape_summary.json
16095,16095,0,0,2005,2026,{'no_keywords_found': 16095},{'': 16095},"{'no_keywords_found': 16095, 'crossref_query_ok': 20}",psychotherapy_journals_scrape_summary.json
1638,1638,0,0,2005,2026,{'no_keywords_found': 1638},{'': 1638},"{'no_keywords_found': 1638, 'crossref_query_ok': 2}",psychotherapy_research_scrape_summary.json
1402,1402,0,0,2005,2026,{'no_keywords_found': 1402},{'': 1402},"{'no_keywords_found': 1402, 'crossref_query_ok': 2}",psychotherapy_scrape_summary.json
