journal_key,n_sampled,n_http_200,n_with_candidate_signal,median_html_length,candidate_signal_pct
arts_in_psychotherapy,8,8,0,2685.5,0.0
behaviour_research_and_therapy,8,8,0,2694.5,0.0
clinical_psychology_psychotherapy,8,0,0,5729.0,0.0
cognitive_behaviour_therapy,8,0,0,5777.0,0.0
counselling_psychotherapy_research,8,0,0,5745.5,0.0
journal_consulting_clinical_psychology,8,2,0,961.0,0.0
journal_psychotherapy_integration,8,0,0,961.0,0.0
psychology_psychotherapy_tprp,8,0,0,5768.0,0.0
psychotherapy,8,1,0,961.0,0.0
psychotherapy_research,8,0,0,5777.0,0.0
