article_id,journal_key,journal_title_config,journal_title_crossref,publisher_family,article_url,doi,year,publication_date,volume,issue_number,pages,title,authors,article_type,crossref_subjects,abstract_text,n_keywords,keyword_extraction_status,keyword_source
10.1080/14733140512331343813,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,http://doi.wiley.com/10.1080/14733140512331343813,10.1080/14733140512331343813,2005,2005-3,5,1,1-1,Publisher's Note,,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343822,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343822,10.1080/14733140512331343822,2005,2005-3,5,1,3-4,Editorial – March 2005,,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343967,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343967,10.1080/14733140512331343967,2005,2005-3,5,1,77-78,News,,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343921,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343921,10.1080/14733140512331343921,2005,2005-3,5,1,53-61,Between the idea and the reality: A study of the counselling experiences of bereaved people who sense the presence of the deceased,Sally Flatteau Taylor *,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343831,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343831,10.1080/14733140512331343831,2005,2005-3,5,1,5-10,Positive psychological approaches to therapy,Stephen Joseph; P. Alex Linley,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343930,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343930,10.1080/14733140512331343930,2005,2005-3,5,1,63-64,"<i>Writing as Inquiry</i>: some ideas, practices, opportunities and constraints",Jane Speedy,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343859,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343859,10.1080/14733140512331343859,2005,2005-3,5,1,19-26,Counsellor conflict in managing the frame: Dilemmas and decisions,Clare Symons; Sue Wheeler,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343949,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,http://doi.wiley.com/10.1080/14733140512331343949,10.1080/14733140512331343949,2005,2005-3,5,1,65-74,Failing to come to terms with things: a multi-storied conversation about poststructuralist ideas and narrative practices in response to some of life's failures,Jane Speedy; Margie; Fay; Jack; Pauline; Janice Jones *,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343903,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343903,10.1080/14733140512331343903,2005,2005-3,5,1,49-50,Letters,,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343912,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,http://doi.wiley.com/10.1080/14733140512331343912,10.1080/14733140512331343912,2005,2005-3,5,1,51-52,Compare and Contrast,Julia Buckroyd,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343958,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343958,10.1080/14733140512331343958,2005,2005-3,5,1,75-76,A day in the life ... a worm's eye view of doing collaborative counselling research,Jane Speedy,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343886,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343886,10.1080/14733140512331343886,2005,2005-3,5,1,37-42,"The experiences of therapists using a new client-centred psychometric instrument, PSYCHLOPS (Psychological Outcome Profiles)",Mark Ashworth; Susan I. Robinson; Emma Godfrey; Henk Parmentier; Melanie Shepherd; Jeremy Christey; Kevin Wright; Veronica Matthews,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343868,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,http://doi.wiley.com/10.1080/14733140512331343868,10.1080/14733140512331343868,2005,2005-3,5,1,27-32,A qualitative study into the experience of mandatory personal therapy during training,David Murphy,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343877,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,http://doi.wiley.com/10.1080/14733140512331343877,10.1080/14733140512331343877,2005,2005-3,5,1,33-36,Book reviews,,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343976,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343976,10.1080/14733140512331343976,2005,2005-3,5,1,79-79,Erratum,,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343895,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343895,10.1080/14733140512331343895,2005,2005-3,5,1,43-47,Time-limited therapy in a Community Mental Health Team setting,Michael Fitzgerald Carter *,journal-article,,,0,no_keywords_found,
10.1080/14733140512331343840,counselling_psychotherapy_research,Counselling and Psychotherapy Research,Counselling and Psychotherapy Research,wiley,https://onlinelibrary.wiley.com/doi/10.1080/14733140512331343840,10.1080/14733140512331343840,2005,2005-3,5,1,11-18,"Feelings of inadequacy, insecurity, and incompetence among experienced therapists",Anne Thériault; Nicola Gazzola,journal-article,,,0,no_keywords_found,
