article_id,journal_key,journal_title_config,journal_title_crossref,publisher_family,article_url,doi,year,publication_date,volume,issue_number,pages,title,authors,article_type,crossref_subjects,abstract_text,n_keywords,keyword_extraction_status,keyword_source
10.1037/0022-006x.73.6.1125,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.6.1125,10.1037/0022-006x.73.6.1125,2005,2005,73,6,1125-1134,Developmental Differences in the Function and Use of Anatomical Dolls During Interviews With Alleged Sexual Abuse Victims.,Karen L. Thierry; Michael E. Lamb; Yael Orbach; Margaret-Ellen Pipe,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.4.769,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.4.769,10.1037/0022-006x.73.4.769,2005,2005,73,4,769-776,"Gender, Neuroticism, and Emotional Expressivity: Effects on Spousal Constraints Among Individuals With Cancer.",Phillip J. Quartana; Brian J. Schmaus; Sandra G. Zakowski,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.6.1135,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.6.1135,10.1037/0022-006x.73.6.1135,2005,2005,73,6,1135-1145,The Intergenerational Transmission of Externalizing Behaviors in Adult Participants: The Mediating Role of Childhood Abuse.,Edelyn Verona; Natalie Sachs-Ericsson,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.3.477,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.3.477,10.1037/0022-006x.73.3.477,2005,2005,73,3,477-487,"Victimization Over the Life Span: A Comparison of Lesbian, Gay, Bisexual, and Heterosexual Siblings.",Kimberly F. Balsam; Esther D. Rothblum; Theodore P. Beauchaine,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.1.59,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.1.59,10.1037/0022-006x.73.1.59,2005,2005,73,1,59-67,Sudden Gains in Cognitive Therapy for Depression: A Replication and Extension.,Gillian E. Hardy; Jane Cahill; William B. Stiles; Caroline Ispan; Norman Macaskill; Michael Barkham,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.5.787,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.5.787,10.1037/0022-006x.73.5.787,2005,2005,73,5,787-789,Introduction to the special section on multicultural and community psychology: Clinical psychology in context.,Gordon C. Nagayama Hall,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.4.711,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.4.711,10.1037/0022-006x.73.4.711,2005,2005,73,4,711-720,The Influence of Decreased Parental Resources on the Efficacy of a Responsive Parenting Intervention.,Karen E. Smith; Susan H. Landry; Paul R. Swank,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.1.127,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.1.127,10.1037/0022-006x.73.1.127,2005,2005,73,1,127-135,Can the Randomized Controlled Trial Literature Generalize to Nonrandomized Patients?,Shannon Wiltsey Stirman; Robert J. DeRubeis; Paul Crits-Christoph; Allison Rothman,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.1.67,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://www.crossref.org:443/deleted_DOI.html,10.1037/0022-006x.73.1.67,2005,2005,73,1,67-67,Journal of Consulting and Clinical Psychology Call for Papers: Special Section on Benefit Finding or Growth Following Highly Stressful or Traumatic Life Events.,No authorship indicated,journal-article,,,0,no_keywords_found,
10.1037/0022-006x.73.1.144,journal_consulting_clinical_psychology,Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology,apa,https://doi.apa.org/doi/10.1037/0022-006X.73.1.144,10.1037/0022-006x.73.1.144,2005,2005,73,1,144-150,Infidelity and Behavioral Couple Therapy: Optimism in the Face of Betrayal.,David C. Atkins; Kathleen A. Eldridge; Donald H. Baucom; Andrew Christensen,journal-article,,,0,no_keywords_found,
