article_id,journal_key,journal_title_config,journal_title_crossref,publisher_family,article_url,doi,year,publication_date,volume,issue_number,pages,title,authors,article_type,crossref_subjects,abstract_text,n_keywords,keyword_extraction_status,keyword_source
10.1348/147608305x37097,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,http://doi.wiley.com/10.1348/147608305X37097,10.1348/147608305x37097,2005,2005-3-1,78,1,139-140,Editorial acknowledgement,,journal-article,,,0,no_keywords_found,
10.1348/147608304x21392,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608304X21392,10.1348/147608304x21392,2005,2005-3,78,1,59-76,Ex‐clients' evaluation of bereavement counselling in a voluntary sector agency,Mary Gallagher; Anne Tracey; Rob Millar,journal-article,,"This study aims to carry out an evaluation of bereavement counselling provided by a voluntary charity from the perspective of clients who had availed themselves of the service. A questionnaire survey of ex‐clients of one branch of a major voluntary sector bereavement care organization was carried out. Based on a sample of 89 returned questionnaires (representing a response rate of 45%), findings indicated that paraprofessional voluntary counsellors can provide a counselling service to bereaved people that satisfies the majority of clients who report positive experiences in counselling and post‐counselling outcomes, and generally rate their counselling as helpful. Nonetheless, there was a minority of ex‐clients who did not regard their status, 6 weeks after counselling, as being more positive. Further, the reputation of the voluntary agency within the community and among potential referrers and ex‐clients appears strong, offering additional positive evidence of the status of their bereavement counselling service in the locality.",0,no_keywords_found,
10.1348/147608304x22364,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608304X22364,10.1348/147608304x22364,2005,2005-3,78,1,21-44,Vocal manifestations of internal multiplicity: Mary's voices,Katerine Osatuke; Carol L. Humphreys; Meredith J. Glick; Robin L. Graff‐Reed; LaTasha McKenzie Mack; William B. Stiles,journal-article,,"According to the assimilation model, personality may be considered as a community of internal voices representing traces of previous experiences. This study addressed the hypothesis that a person's internal voices sound different from each other. First, following an intensive qualitative procedure, four clinically sophisticated raters identified six internal voices in a 45‐minute interview with Mary, a graduate student in psychology. They characterized the voices by (a) distinctive names, (b) descriptions of vocal and personality characteristics, and (c) sets of excerpted passages. Next, using the voice names and descriptions, additional raters independently sorted the passages into groups. Sortings based on transcript plus audio agreed with the sophisticated raters on 68.9% of the passages, as compared with 37.2% for sortings based on transcript only, while chance agreement expected for both was 16.7%. These findings support a literal view of internal multiplicity, consistent with a modular organization of experiential information within personality.",0,no_keywords_found,
10.1348/147608305x40840,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608305X40840,10.1348/147608305x40840,2005,2005-3,78,1,1-19,A Conversational Model of art therapy,Nicolette Eisdell,journal-article,,"This paper illustrates a ‘Conversational Model’ of art therapy. The Conversational Model was jointly created by Robert Hobson and Russell Meares. It is a developmental theory unique in its clinical application. The focus of the paper is two sessions that altered the course of therapy. In these sessions, variations on Donald Winnicott's “squiggle‐game” and Hobson's “party game” were used to engage an isolative, reluctant incarcerated patient. The interventions illustrate the basic tenets of the Conversational Model. The theoretical process – from disruption to repair – is visually recorded in the artwork. The central argument of the paper is that interactive art therapy interventions can be effective, when used appropriately. By engaging the patient in a ‘visual’ conversation, he/she may develop an emotional vocabulary, a prerequisite for a psychotherapeutic conversation. The paper begins with a brief historical overview of the interface between art and psychoanalysis, the context out of which ‘art therapy’ – a distinct body of theory – evolved. Theory interweaves with clinical material in a narrative style.",0,no_keywords_found,
10.1348/147608305x39644,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608305X39644,10.1348/147608305x39644,2005,2005-3,78,1,77-93,Protecting the sacred and expressions of rituality: Examining the relationship between extrinsic dimensions of religiosity and unhealthy guilt,John Maltby,journal-article,,"The aim of the present study was to examine the relationship between extrinsic religiosity and unhealthy guilt by testing two specific hypotheses. Using multidimensional measures of religious orientation and guilt, among 344 (169 male and 175 female) adults, and consistent with predictions; extrinsic‐personal religiosity was found to be related to trait and state guilt, and extrinsic‐social religiosity was found to be related to moral standards guilt. The present findings suggest evidence for a present conceptualization of the relationship between extrinsic religiosity and unhealthy guilt as the result of internal and external conflicts. The findings suggest that, when looking at maladaptive guilt among religious clients in clinical, therapeutic or counselling settings, it may be crucial to distinguish between dimensions of extrinsic religiosity and unhealthy guilt.",0,no_keywords_found,
10.1348/147608304x21374,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608304X21374,10.1348/147608304x21374,2005,2005-3,78,1,113-125,Alexithymia: Its prevalence and correlates in a British undergraduate sample,O. Mason; M. Tyson; C. Jones; S. Potts,journal-article,,"Introduction. Alexithymia is characterized by a difficulty identifying and describing emotional states, as well as an externally oriented thinking style. This study investigated the prevalence of alexithymia in a British undergraduate sample and assesses its relationship to both parental bonding and dissociation. Method. The Toronto alexithymia scale (TAS‐20), the Parental Bonding Instrument (PBI), and the Dissociative Experience Scale (DES) were administered to a sample of 181 male and 190 female undergraduate students from both arts and science subjects. Results. Rates of alexithymia were comparable with those observed in some other countries. Contrary to predictions, females were found to have higher rates than males, and the highest presence of alexithymia was in female science students. As in previous studies, alexithymia was linked to both dissociation and perceptions of a lack of maternal care, though the degree of association to the latter was small. Dissociative experiences were predicted by both maternal overprotection and difficulties identifying feelings. Discussion. Some qualified support was found for the relevance of early maternal bonding to later difficulties processing emotions. The presence of greater alexithymia in females, and female science students in particular, was discussed in reference to similar observations elsewhere. There was also an understandable relationship between ‘difficulty identifying feelings’ (TAS) and both depersonalization/derealization and absorption (DES).",0,no_keywords_found,
10.1348/147608304x21383,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608304X21383,10.1348/147608304x21383,2005,2005-3,78,1,45-57,The effect of mood on responses to the Young Schema Questionnaire: Short form,Lusia Stopa; Anne Waters,journal-article,,"The schema concept has had an important role in both early and more recent accounts of psychopathology. Schemas are underlying cognitive structures that are thought to create vulnerability to disorders, because they act as templates for the perception, encoding, storage, and retrieval of information. Recent approaches to the understanding and treatment of personality disorders give schemas particular prominence, and the concept of early maladaptive schemas forms the cornerstone of schema‐focused cognitive therapy. The aim of this paper is to examine the effect of mood on responses to the Young Schema Questionnaire – short form (YSQ‐S; ). A sample of 50 non‐clinical participants completed the YSQ‐S on three different occasions: in neutral mood, and following happy and depressed mood inductions. The results of 30 participants with full data sets showed that emotional deprivation and defectiveness scores increased after the depressed mood induction, whereas entitlement scores increased after the happy mood induction. The results are discussed in relation to cognitive theories of vulnerability to psychopathology, and future directions for research are suggested.",0,no_keywords_found,
10.1348/147608304x21365,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608304X21365,10.1348/147608304x21365,2005,2005-3,78,1,127-138,Thirty‐six month outcome data from a trial of counselling with chronically depressed patients in a general practice setting,Roslyn Corney; Sharon Simpson,journal-article,,"Counsellors have been employed in general practice with little evidence of effectiveness in this setting. This randomized controlled trial examined long‐term effectiveness of short‐term counselling in general practice for patients with chronic depression, either alone or combined with anxiety. Participants were 181 patients recruited from nine general practitioners’ (GP) practices in Derbyshire by screening consecutive attenders using the Beck Depression Inventory. Both the experimental and control group received routine GP treatment but the experimental group were also referred to the practice counsellor. Depression and social adjustment were measured at baseline, 6, 12, and 36 months. There was an overall significant improvement in the actual scores over time, but there were no significant differences between the two groups on any of the measures at either 6, 12, or 36 months. Although fewer experimental group patients were still ‘cases’ on the BDI than controls at 6 and 12 months, this difference disappeared at 36 months. There was no evidence to demonstrate a long‐term effect of improved outcomes in those referred to counselling.",0,no_keywords_found,
10.1348/147608305x39491,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608305X39491,10.1348/147608305x39491,2005,2005-3,78,1,95-111,The relationship between social deprivation and unilateral termination (attrition) from psychotherapy at various stages of the health care pathway,Roland Self; Paula Oates; Tia Pinnock‐Hamilton; Chris Leach,journal-article,,"The relationship between social deprivation and attrition from psychotherapy was examined at various stages of the health care pathway. Data providing information on service users' discharge status gave a measure of attrition at different stages along this pathway. On the basis of their postcode, service users were allocated a Townsend deprivation score, which is a measure of social deprivation. Of the sample, 60% terminated therapy prior to agreed discharge at various pathway stages. Service users who failed to attend their first appointment had significantly higher social deprivation scores than those who completed therapy. Early terminators, who stopped attending before their fifth session, had a significantly higher level of social deprivation than the late terminators, and those who completed therapy. The late terminators did not significantly differ from completers on social deprivation. These results support earlier findings showing that socio‐economic status influences attrition from therapy. However, socio‐economic status only affects two stages of the pathway – attendance at the first appointment, and the early stage of attending therapy. It does not affect earlier or later stages of the pathway. Applying the health action process approach (HAPA) model to the results, the action/maintenance stage can be represented by attendance for therapy. Socio‐economic status influences this stage of the model, because social support and resources are important determinants for compliance. Earlier stages, characterized by HAPA as a decisional/motivation stage thought to be influenced by beliefs, was not affected by social deprivation. It is concluded that attrition from therapy should be studied separately for each pathway stage. Earlier conflicting findings on causes of attrition may have resulted from studying different combinations of pathway stages. Furthermore, high rates of attrition related to socio‐economic status raises serious questions about the external validity of therapy trials where these factors are not routinely reported, and the ecological validity of current service delivery models.",0,no_keywords_found,
10.1348/147608305x41236,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1348/147608305X41236,10.1348/147608305x41236,2005,2005-6,78,2,271-272,Book Reviews,Ryno K. Van Dyk,journal-article,,"Men, women, passion and power: Gender issues in psychotherapy Marie Maguire Abingdon, Oxfordshire: Brunner‐Routledge, 2004. Pp., 256, £16.99 , ISBN 1‐58391‐267‐3",0,no_keywords_found,
