article_id,doi,article_url,source_issue_url,journal_key,journal_title,year,volume,issue_number,title_raw,title_clean_initial,authors,publication_date,online_publication_date,article_type,abstract_text,n_keywords,title_len,pub_year
10.1016/j.aip.2004.12.005,10.1016/j.aip.2004.12.005,https://linkinghub.elsevier.com/retrieve/pii/S0197455604001285,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Book review,Book review,Jeanne D’Archer,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.01.002,10.1016/j.aip.2005.01.002,https://linkinghub.elsevier.com/retrieve/pii/S019745560500002X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Book review,Book review,Annette Shore,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2004.12.004,10.1016/j.aip.2004.12.004,https://linkinghub.elsevier.com/retrieve/pii/S0197455604001273,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Book review,Book review,Roberta S. Kagin,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.07.006,10.1016/j.aip.2005.07.006,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000754,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Book review,Book review,Ikuko Acosta,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.04.002,10.1016/j.aip.2005.04.002,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000481,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Book review,Book review,Kate T. Donohue,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.01.001,10.1016/j.aip.2005.01.001,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000031,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Book review,Book review,Elaine Bagley,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.09.001,10.1016/j.aip.2005.09.001,https://linkinghub.elsevier.com/retrieve/pii/S019745560500078X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Book review,Book review,Linda Hammond,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.07.005,10.1016/j.aip.2005.07.005,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000742,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Book review,Book review,B.A. Lucchi,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.09.002,10.1016/j.aip.2005.09.002,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000791,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Book review,Book review,Eileen P. McGann,2005,,journal-article,,0,11,2005.0
10.1016/j.aip.2005.04.001,10.1016/j.aip.2005.04.001,https://linkinghub.elsevier.com/retrieve/pii/S019745560500047X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Book review,Book review,Christine Korb,2005,,journal-article,,0,11,2005.0
10.1016/s0197-4556(05)00102-4,10.1016/s0197-4556(05)00102-4,https://linkinghub.elsevier.com/retrieve/pii/S0197455605001024,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0
10.1016/s0197-4556(05)00016-x,10.1016/s0197-4556(05)00016-x,https://linkinghub.elsevier.com/retrieve/pii/S019745560500016X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0
10.1016/s0197-4556(05)00063-8,10.1016/s0197-4556(05)00063-8,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000638,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0
10.1016/s0197-4556(05)00087-0,10.1016/s0197-4556(05)00087-0,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000870,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0
10.1016/s0197-4556(05)00028-6,10.1016/s0197-4556(05)00028-6,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000286,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0
10.1016/s0197-4556(05)00009-2,10.1016/s0197-4556(05)00009-2,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000092,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Inside front cover / Editoral board,Inside front cover / Editoral board,,2005,,journal-article,,0,35,2005.0
10.1016/s0197-4556(05)00030-4,10.1016/s0197-4556(05)00030-4,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000304,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Inside front cover / Editoral board,Inside front cover / Editoral board,,2005,,journal-article,,0,35,2005.0
10.1016/s0197-4556(05)00058-4,10.1016/s0197-4556(05)00058-4,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000584,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Inside front cover / Editoral board,Inside front cover / Editoral board,,2005,,journal-article,,0,35,2005.0
10.1016/s0197-4556(05)00082-1,10.1016/s0197-4556(05)00082-1,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000821,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Inside front cover / Editoral board,Inside front cover / Editoral board,,2005,,journal-article,,0,35,2005.0
10.1016/s0197-4556(05)00098-5,10.1016/s0197-4556(05)00098-5,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000985,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Inside front cover / Editoral board,Inside front cover / Editoral board,,2005,,journal-article,,0,35,2005.0
10.1016/s0197-4556(05)00056-0,10.1016/s0197-4556(05)00056-0,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000560,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0
10.1016/s0197-4556(05)00095-x,10.1016/s0197-4556(05)00095-x,https://linkinghub.elsevier.com/retrieve/pii/S019745560500095X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0
10.1016/s0197-4556(05)00080-8,10.1016/s0197-4556(05)00080-8,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000808,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0
10.1016/s0197-4556(05)00026-2,10.1016/s0197-4556(05)00026-2,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000262,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0
10.1016/s0197-4556(05)00007-9,10.1016/s0197-4556(05)00007-9,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000079,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0
10.1016/s0197-4556(05)00025-0,10.1016/s0197-4556(05)00025-0,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000250,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Notice,Notice,,2005,,journal-article,,0,6,2005.0
10.1016/s0197-4556(05)00006-7,10.1016/s0197-4556(05)00006-7,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000067,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Notice,Notice,,2005,,journal-article,,0,6,2005.0
