journal_key,journal_title,n_articles,year_min,year_max,n_with_abstract,abstract_coverage_pct,n_with_authors,authors_coverage_pct,n_duplicate_title_year_rows
behaviour_research_and_therapy,behaviour_research_and_therapy,3251,2005,2025,0,0.0,2967,91.26,273
journal_consulting_clinical_psychology,journal_consulting_clinical_psychology,2558,2005,2025,0,0.0,2042,79.83,4
clinical_psychology_psychotherapy,clinical_psychology_psychotherapy,1785,2005,2025,1710,95.8,1725,96.64,66
psychotherapy_research,psychotherapy_research,1581,2005,2025,0,0.0,1525,96.46,24
arts_in_psychotherapy,arts_in_psychotherapy,1532,2005,2025,0,0.0,1305,85.18,248
counselling_psychotherapy_research,counselling_psychotherapy_research,1434,2005,2025,1182,82.43,1349,94.07,70
psychotherapy,psychotherapy,1392,2005,2025,0,0.0,1216,87.36,7
psychology_psychotherapy_tprp,psychology_psychotherapy_tprp,949,2005,2025,861,90.73,893,94.1,61
cognitive_behaviour_therapy,cognitive_behaviour_therapy,786,2005,2025,0,0.0,765,97.33,8
journal_psychotherapy_integration,journal_psychotherapy_integration,711,2005,2025,0,0.0,661,92.97,2
