article_id,doi,article_url,source_issue_url,journal_key,journal_title,year,volume,issue_number,title_raw,title_clean_initial,authors,publication_date,online_publication_date,article_type,abstract_text,n_keywords,title_len,pub_year,flag_book_review,flag_editorial,flag_guide_for_authors,flag_notice,flag_correction,flag_comment_reply_letter,flag_front_back_matter,flag_any_nonresearch_candidate,flag_short_title_lt20
10.1016/s0197-4556(05)00096-1,10.1016/s0197-4556(05)00096-1,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000961,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Cover Design Credit,Cover Design Credit,,2005,,journal-article,,0,19,2005.0,False,False,False,False,False,False,False,False,True
10.1016/s0197-4556(05)00102-4,10.1016/s0197-4556(05)00102-4,https://linkinghub.elsevier.com/retrieve/pii/S0197455605001024,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0,False,False,True,False,False,False,False,True,True
10.1016/j.aip.2004.12.005,10.1016/j.aip.2004.12.005,https://linkinghub.elsevier.com/retrieve/pii/S0197455604001285,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Book review,Book review,Jeanne D’Archer,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00025-0,10.1016/s0197-4556(05)00025-0,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000250,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Notice,Notice,,2005,,journal-article,,0,6,2005.0,False,False,False,True,False,False,False,True,True
10.1016/j.aip.2005.01.002,10.1016/j.aip.2005.01.002,https://linkinghub.elsevier.com/retrieve/pii/S019745560500002X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Book review,Book review,Annette Shore,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2004.12.004,10.1016/j.aip.2004.12.004,https://linkinghub.elsevier.com/retrieve/pii/S0197455604001273,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Book review,Book review,Roberta S. Kagin,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2005.07.006,10.1016/j.aip.2005.07.006,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000754,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Book review,Book review,Ikuko Acosta,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00006-7,10.1016/s0197-4556(05)00006-7,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000067,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Notice,Notice,,2005,,journal-article,,0,6,2005.0,False,False,False,True,False,False,False,True,True
10.1016/j.aip.2005.04.002,10.1016/j.aip.2005.04.002,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000481,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Book review,Book review,Kate T. Donohue,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2005.01.001,10.1016/j.aip.2005.01.001,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000031,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Book review,Book review,Elaine Bagley,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2005.09.003,10.1016/j.aip.2005.09.003,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000900,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,News & Notes (32/5),News & Notes (32/5),,2005,,journal-article,,0,19,2005.0,False,False,False,False,False,False,False,False,True
10.1016/s0197-4556(05)00055-9,10.1016/s0197-4556(05)00055-9,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000559,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Notice,Notice,,2005,,journal-article,,0,6,2005.0,False,False,False,True,False,False,False,True,True
10.1016/j.aip.2005.01.007,10.1016/j.aip.2005.01.007,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000195,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,News and Notes,News and Notes,,2005,,journal-article,,0,14,2005.0,False,False,False,False,False,False,False,False,True
10.1016/j.aip.2005.09.001,10.1016/j.aip.2005.09.001,https://linkinghub.elsevier.com/retrieve/pii/S019745560500078X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Book review,Book review,Linda Hammond,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00016-x,10.1016/s0197-4556(05)00016-x,https://linkinghub.elsevier.com/retrieve/pii/S019745560500016X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0,False,False,True,False,False,False,False,True,True
10.1016/j.aip.2004.12.001,10.1016/j.aip.2004.12.001,https://linkinghub.elsevier.com/retrieve/pii/S0197455604001248,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,News ; notes,News ; notes,,2005,,journal-article,,0,12,2005.0,False,False,False,False,False,False,False,False,True
10.1016/j.aip.2005.07.003,10.1016/j.aip.2005.07.003,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000730,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,News & Notes (32/4),News & Notes (32/4),,2005,,journal-article,,0,19,2005.0,False,False,False,False,False,False,False,False,True
10.1016/j.aip.2005.04.006,10.1016/j.aip.2005.04.006,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000523,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,News ; Notes (32/3),News ; Notes (32/3),,2005,,journal-article,,0,19,2005.0,False,False,False,False,False,False,False,False,True
10.1016/j.aip.2005.07.005,10.1016/j.aip.2005.07.005,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000742,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Book review,Book review,B.A. Lucchi,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2005.09.002,10.1016/j.aip.2005.09.002,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000791,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Book review,Book review,Eileen P. McGann,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00063-8,10.1016/s0197-4556(05)00063-8,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000638,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0,False,False,True,False,False,False,False,True,True
10.1016/j.aip.2005.04.001,10.1016/j.aip.2005.04.001,https://linkinghub.elsevier.com/retrieve/pii/S019745560500047X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Book review,Book review,Christine Korb,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00087-0,10.1016/s0197-4556(05)00087-0,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000870,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0,False,False,True,False,False,False,False,True,True
10.1016/s0197-4556(05)00028-6,10.1016/s0197-4556(05)00028-6,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000286,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0,False,False,True,False,False,False,False,True,True
10.1016/j.aip.2006.01.003,10.1016/j.aip.2006.01.003,https://linkinghub.elsevier.com/retrieve/pii/S0197455606000177,,arts_in_psychotherapy,arts_in_psychotherapy,2006,33.0,2.0,Book review,Book review,Chris C. Baker,2006,,journal-article,,0,11,2006.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2006.05.003,10.1016/j.aip.2006.05.003,https://linkinghub.elsevier.com/retrieve/pii/S0197455606000487,,arts_in_psychotherapy,arts_in_psychotherapy,2006,33.0,4.0,Book review,Book review,Roberta Shoemaker-Beal,2006,,journal-article,,0,11,2006.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2006.09.003,10.1016/j.aip.2006.09.003,https://linkinghub.elsevier.com/retrieve/pii/S019745560600089X,,arts_in_psychotherapy,arts_in_psychotherapy,2006,33.0,5.0,Book review,Book review,Christine Turner,2006,,journal-article,,0,11,2006.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2006.02.003,10.1016/j.aip.2006.02.003,https://linkinghub.elsevier.com/retrieve/pii/S0197455606000207,,arts_in_psychotherapy,arts_in_psychotherapy,2006,33.0,2.0,News & Notes 33/2,News & Notes 33/2,,2006,,journal-article,,0,17,2006.0,False,False,False,False,False,False,False,False,True
