year,n_articles,n_journals,n_with_abstract,abstract_coverage_pct
2005,622,10,61,9.81
2006,647,10,92,14.22
2007,763,10,120,15.73
2008,603,10,101,16.75
2009,656,10,108,16.46
2010,670,10,111,16.57
2011,600,10,115,19.17
2012,642,10,116,18.07
2013,681,10,111,16.3
2014,694,10,114,16.43
2015,674,10,122,18.1
2016,663,10,111,16.74
2017,832,10,214,25.72
2018,710,10,166,23.38
2019,782,10,158,20.2
2020,823,10,198,24.06
2021,942,10,310,32.91
2022,916,10,313,34.17
2023,854,10,285,33.37
2024,965,10,390,40.41
2025,1240,10,437,35.24
