keyword,first,second,ratio
psychoterapia,1.0,22.0,11.5
psychoterapia online,0.0,8.0,9.0
schizofrenia,0.0,6.0,7.0
depresja,0.0,6.0,7.0
psychoterapia grupowa,0.0,6.0,7.0
przywiązanie,0.0,6.0,7.0
psychoterapia psychoanalityczna,0.0,5.0,6.0
zaburzenia osobowości,0.0,5.0,6.0
uzależnienie od alkoholu,0.0,5.0,6.0
terapia rodzinna,0.0,5.0,6.0
terapia poznawczo-behawioralna,1.0,10.0,5.5
superwizja,0.0,4.0,5.0
zdrowienie,0.0,4.0,5.0
adolescencja,0.0,4.0,5.0
tożsamość,0.0,4.0,5.0
psychoanaliza,0.0,4.0,5.0
psychoza,0.0,4.0,5.0
studium przypadku,0.0,4.0,5.0
relacja terapeutyczna,0.0,4.0,5.0
mentalizacja,0.0,3.0,4.0
skuteczność psychoterapii,0.0,3.0,4.0
relacja matka-dziecko,0.0,3.0,4.0
COVID-19,0.0,3.0,4.0
terapia rodzin,0.0,3.0,4.0
psychoterapia psychodynamiczna,0.0,3.0,4.0
terapia schematów,0.0,3.0,4.0
zdrowie psychiczne,0.0,3.0,4.0
psychopatia,0.0,3.0,4.0
terapia wielorodzinna,0.0,3.0,4.0
psychoterapia egzystencjalna,0.0,3.0,4.0
analiza egzystencjalna,0.0,3.0,4.0
analiza grupowa,0.0,3.0,4.0
zaburzenia lękowe,0.0,3.0,4.0
diagnoza,0.0,3.0,4.0
teoria przywiązania,0.0,2.0,3.0
terapia poznawcza,0.0,2.0,3.0
historia,0.0,2.0,3.0
zaburzenie osobowości z pogranicza,0.0,2.0,3.0
historia psychoterapii,0.0,2.0,3.0
wczesne nieadaptacyjne schematy,0.0,2.0,3.0
etyka,0.0,2.0,3.0
rozwój self,0.0,2.0,3.0
wsparcie,0.0,2.0,3.0
samobójcza śmierć bliskiego,0.0,2.0,3.0
relacja pomiędzy superwizorem a superwizantem,0.0,2.0,3.0
relacja superwizyjna,0.0,2.0,3.0
trauma relacyjna,0.0,2.0,3.0
proces psychoterapeutyczny,0.0,2.0,3.0
przemoc domowa,0.0,2.0,3.0
teorie psychodynamiczne,0.0,2.0,3.0
superwizja psychoterapii,0.0,2.0,3.0
depresja poporodowa,0.0,2.0,3.0
leczenie,0.0,2.0,3.0
koterapia,0.0,2.0,3.0
psychoterapia traumy,0.0,2.0,3.0
nieświadomość,0.0,2.0,3.0
fenomenologia,0.0,2.0,3.0
obraz ciała,0.0,2.0,3.0
intersubiektywność,0.0,2.0,3.0
oddział stacjonarny,0.0,2.0,3.0
późna dorosłość,0.0,2.0,3.0
anoreksja,0.0,2.0,3.0
zaburzenia osobowości borderline,0.0,2.0,3.0
