person_id,name_ptpp_order,membership_category,source_database,candidate_authorships,high_candidate,medium_candidate,low_candidate,very_low_candidate,max_total_candidate_score
ptpp_ordinary_member_0006,Augustyniak Maria,ordinary_member,openalex,58,0,58,0,0,0.99
ptpp_ordinary_member_0006,Augustyniak Maria,ordinary_member,pubmed,20,0,20,0,0,0.8
ptpp_ordinary_member_0010,Banaś Władysław,ordinary_member,pubmed,30,0,20,10,0,0.9
ptpp_ordinary_member_0011,Barszcz Danuta,ordinary_member,pubmed,11,0,11,0,0,0.85
ptpp_ordinary_member_0012,Barszcz Zbigniew,ordinary_member,openalex,17,2,15,0,0,1.05
ptpp_ordinary_member_0012,Barszcz Zbigniew,ordinary_member,pubmed,2,0,2,0,0,0.85
ptpp_ordinary_member_0014,Bednarska Małgorzata,ordinary_member,openalex,62,2,60,0,0,1.09
ptpp_ordinary_member_0014,Bednarska Małgorzata,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0015,Bertrand Karolina,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0016,Bielawska Agnieszka,ordinary_member,openalex,45,1,44,0,0,1.07
ptpp_ordinary_member_0016,Bielawska Agnieszka,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0018,Bieńkowski Dawid,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0018,Bieńkowski Dawid,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0019,Biernacka Edyta,ordinary_member,openalex,21,1,20,0,0,1.1
ptpp_ordinary_member_0019,Biernacka Edyta,ordinary_member,pubmed,7,0,7,0,0,0.85
ptpp_ordinary_member_0021,Bieś Magdalena,ordinary_member,pubmed,5,0,5,0,0,0.85
ptpp_ordinary_member_0022,Bittner-Jakubowska Agnieszka,ordinary_member,openalex,1,1,0,0,0,1.15
ptpp_ordinary_member_0025,Borowicz Jan,ordinary_member,openalex,46,1,25,20,0,1.08
ptpp_ordinary_member_0025,Borowicz Jan,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0028,Budniak Izabela,ordinary_member,openalex,2,0,2,0,0,0.95
ptpp_ordinary_member_0030,Burzyńska Joanna,ordinary_member,openalex,25,0,25,0,0,1.0
ptpp_ordinary_member_0030,Burzyńska Joanna,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0037,Chojnowska Małgorzata,ordinary_member,openalex,6,1,5,0,0,1.07
ptpp_ordinary_member_0037,Chojnowska Małgorzata,ordinary_member,pubmed,6,0,6,0,0,0.8
ptpp_ordinary_member_0038,Chołuj Małgorzata,ordinary_member,pubmed,12,0,12,0,0,0.85
ptpp_ordinary_member_0043,Czajka Magdalena,ordinary_member,openalex,50,1,49,0,0,1.08
ptpp_ordinary_member_0043,Czajka Magdalena,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0052,Dąbrowska Agnieszka,ordinary_member,openalex,71,2,69,0,0,1.07
ptpp_ordinary_member_0052,Dąbrowska Agnieszka,ordinary_member,pubmed,24,0,20,4,0,0.9
ptpp_ordinary_member_0053,Dembińska Daria,ordinary_member,openalex,22,11,11,0,0,1.18
ptpp_ordinary_member_0053,Dembińska Daria,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0055,Deutschman Marta,ordinary_member,pubmed,8,0,8,0,0,0.8
ptpp_ordinary_member_0056,Dębska Ewelina,ordinary_member,openalex,5,0,5,0,0,1.04
ptpp_ordinary_member_0056,Dębska Ewelina,ordinary_member,pubmed,6,0,6,0,0,0.85
ptpp_ordinary_member_0058,Dietrich Agnieszka,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0062,Dudziak Przemysław,ordinary_member,pubmed,5,0,5,0,0,0.8
ptpp_ordinary_member_0063,Dukalska Maria,ordinary_member,openalex,11,3,8,0,0,1.05
ptpp_ordinary_member_0063,Dukalska Maria,ordinary_member,pubmed,11,0,11,0,0,0.9
ptpp_ordinary_member_0066,Dworczyk Piotr,ordinary_member,openalex,1,1,0,0,0,1.15
ptpp_ordinary_member_0069,Faber Anna,ordinary_member,openalex,21,1,19,1,0,1.15
ptpp_ordinary_member_0069,Faber Anna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0070,Falkowska Izabela,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0070,Falkowska Izabela,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0071,Felcyn-Koczewska Magdalena,ordinary_member,openalex,1,1,0,0,0,1.09
ptpp_ordinary_member_0072,Fijałkowska Maria,ordinary_member,openalex,3,0,0,3,0,0.69
ptpp_ordinary_member_0072,Fijałkowska Maria,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0073,Fila Joanna,ordinary_member,openalex,20,0,20,0,0,1.03
ptpp_ordinary_member_0073,Fila Joanna,ordinary_member,pubmed,17,0,17,0,0,0.85
ptpp_ordinary_member_0076,Foryś Katarzyna,ordinary_member,openalex,5,0,4,1,0,1.03
ptpp_ordinary_member_0076,Foryś Katarzyna,ordinary_member,pubmed,10,0,8,2,0,0.8
ptpp_ordinary_member_0083,Geller Krystyna,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0085,Gil-Gilewska Marta,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0086,Głowacka Małgorzata,ordinary_member,openalex,26,0,26,0,0,1.04
ptpp_ordinary_member_0086,Głowacka Małgorzata,ordinary_member,pubmed,16,0,16,0,0,0.85
ptpp_ordinary_member_0087,Głowińska Iwona,ordinary_member,pubmed,7,0,7,0,0,0.85
ptpp_ordinary_member_0088,Głód Ewa,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0090,Golec Danuta,ordinary_member,pubmed,3,0,3,0,0,0.8
ptpp_ordinary_member_0091,Gołębiewska Aleksandra,ordinary_member,pubmed,3,0,3,0,0,0.85
ptpp_ordinary_member_0093,Gorlewski Bartłomiej,ordinary_member,openalex,14,0,14,0,0,0.99
ptpp_ordinary_member_0094,Grabska Jolanta,ordinary_member,pubmed,20,0,20,0,0,0.8
ptpp_ordinary_member_0095,Gracka-Tomaszewska Milena,ordinary_member,openalex,9,0,8,0,1,1.0
ptpp_ordinary_member_0095,Gracka-Tomaszewska Milena,ordinary_member,pubmed,3,0,3,0,0,0.8
ptpp_ordinary_member_0096,Greń Bożena,ordinary_member,pubmed,5,0,5,0,0,0.85
ptpp_ordinary_member_0097,Grzelka Anna,ordinary_member,pubmed,11,0,11,0,0,0.9
ptpp_ordinary_member_0099,Guz Wioletta,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0104,Hempolińska-Nowik Eunice,ordinary_member,openalex,3,0,3,0,0,0.95
ptpp_ordinary_member_0106,Huber Magdalena,ordinary_member,openalex,25,0,24,1,0,1.0
ptpp_ordinary_member_0106,Huber Magdalena,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0108,Jabłońska Olga,ordinary_member,openalex,35,1,33,1,0,1.08
ptpp_ordinary_member_0108,Jabłońska Olga,ordinary_member,pubmed,5,0,5,0,0,0.85
ptpp_ordinary_member_0111,Jakubowicz Monika,ordinary_member,openalex,2,0,0,2,0,0.65
ptpp_ordinary_member_0111,Jakubowicz Monika,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0112,Janasiewicz-Nowak Katarzyna,ordinary_member,openalex,1,1,0,0,0,1.15
ptpp_ordinary_member_0113,Janasik Małgorzata,ordinary_member,pubmed,3,0,3,0,0,0.8
ptpp_ordinary_member_0115,Jarosz Katarzyna,ordinary_member,openalex,45,0,45,0,0,1.04
ptpp_ordinary_member_0115,Jarosz Katarzyna,ordinary_member,pubmed,21,0,20,1,0,0.95
ptpp_ordinary_member_0116,Jarosz Krzysztof,ordinary_member,openalex,44,1,43,0,0,1.05
ptpp_ordinary_member_0116,Jarosz Krzysztof,ordinary_member,pubmed,21,0,20,1,0,0.95
ptpp_ordinary_member_0119,Jaskulski Mieczysław,ordinary_member,pubmed,21,0,21,0,0,0.85
ptpp_ordinary_member_0120,Jastrzębska Julia,ordinary_member,openalex,6,1,5,0,0,1.08
ptpp_ordinary_member_0120,Jastrzębska Julia,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0121,Jędrasik-Styła Małgorzata,ordinary_member,openalex,17,4,8,0,5,1.13
ptpp_ordinary_member_0121,Jędrasik-Styła Małgorzata,ordinary_member,pubmed,11,0,7,0,4,0.85
ptpp_ordinary_member_0124,Juros Szymon,ordinary_member,pubmed,3,0,3,0,0,0.8
ptpp_ordinary_member_0125,Jusińska Magdalena,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0128,Kaczmarek Beata,ordinary_member,openalex,56,2,54,0,0,1.09
ptpp_ordinary_member_0128,Kaczmarek Beata,ordinary_member,pubmed,21,0,20,1,0,0.95
ptpp_ordinary_member_0129,Kaczmarska-Maderak Anna,ordinary_member,openalex,2,0,2,0,0,0.95
ptpp_ordinary_member_0130,Kaczorowska Emanuela,ordinary_member,pubmed,19,0,19,0,0,0.85
ptpp_ordinary_member_0132,Kaim Marzena,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0133,Kaja Dorota,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0134,Kalita Lech,ordinary_member,openalex,18,11,7,0,0,1.2
ptpp_ordinary_member_0134,Kalita Lech,ordinary_member,pubmed,8,0,7,1,0,1.0
ptpp_ordinary_member_0141,Knapiński Michał,ordinary_member,pubmed,6,0,6,0,0,0.8
ptpp_ordinary_member_0142,Kocjan Kinga,ordinary_member,pubmed,4,0,4,0,0,0.85
ptpp_ordinary_member_0143,Komosińska Anna,ordinary_member,openalex,7,0,7,0,0,1.03
ptpp_ordinary_member_0148,Kosman Dorota,ordinary_member,pubmed,20,0,20,0,0,0.8
ptpp_ordinary_member_0149,Kosmowska Barbara,ordinary_member,openalex,40,0,40,0,0,1.0
ptpp_ordinary_member_0149,Kosmowska Barbara,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0151,Kostrzewa Nadia,ordinary_member,openalex,3,0,3,0,0,1.0
ptpp_ordinary_member_0153,Kowalska Anna Ewa,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0154,Kowalska Zuzanna,ordinary_member,openalex,17,3,14,0,0,1.08
ptpp_ordinary_member_0154,Kowalska Zuzanna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0155,Kozak Dorota,ordinary_member,openalex,17,4,13,0,0,1.09
ptpp_ordinary_member_0155,Kozak Dorota,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0156,Kozaka Joanna,ordinary_member,openalex,20,13,7,0,0,1.18
ptpp_ordinary_member_0156,Kozaka Joanna,ordinary_member,pubmed,6,0,6,0,0,0.9
ptpp_ordinary_member_0159,Kramarz Ewa,ordinary_member,openalex,23,0,2,21,0,0.99
ptpp_ordinary_member_0159,Kramarz Ewa,ordinary_member,pubmed,22,0,20,2,0,0.9
ptpp_ordinary_member_0163,Krzemińska Jolanta,ordinary_member,pubmed,19,0,19,0,0,0.85
ptpp_ordinary_member_0164,Kubiak Alicja,ordinary_member,openalex,18,3,15,0,0,1.07
ptpp_ordinary_member_0164,Kubiak Alicja,ordinary_member,pubmed,23,0,20,3,0,0.85
ptpp_ordinary_member_0165,Kubiak Bogdan,ordinary_member,pubmed,16,0,16,0,0,0.8
ptpp_ordinary_member_0166,Kubicka Arletta,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0169,Kupc Agata,ordinary_member,openalex,2,1,1,0,0,1.05
ptpp_ordinary_member_0169,Kupc Agata,ordinary_member,pubmed,13,0,13,0,0,0.8
ptpp_ordinary_member_0170,Kuźdub Milena,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0175,Leszczyńska Katarzyna,ordinary_member,openalex,76,0,75,1,0,1.04
ptpp_ordinary_member_0175,Leszczyńska Katarzyna,ordinary_member,pubmed,21,0,20,1,0,0.9
ptpp_ordinary_member_0176,Lewandowska Beata,ordinary_member,openalex,7,0,7,0,0,1.03
ptpp_ordinary_member_0176,Lewandowska Beata,ordinary_member,pubmed,4,0,4,0,0,0.9
ptpp_ordinary_member_0179,Lipińska Marta,ordinary_member,openalex,47,0,47,0,0,1.04
ptpp_ordinary_member_0179,Lipińska Marta,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0180,Lisowska Hanna,ordinary_member,openalex,6,0,6,0,0,1.03
ptpp_ordinary_member_0180,Lisowska Hanna,ordinary_member,pubmed,20,0,20,0,0,0.95
ptpp_ordinary_member_0183,Łazarczyk Miłosz,ordinary_member,pubmed,17,0,17,0,0,0.85
ptpp_ordinary_member_0184,Łączyńska Marta,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0188,Łukawska Elżbieta,ordinary_member,pubmed,3,0,3,0,0,0.85
ptpp_ordinary_member_0189,Maciejewska Dorota,ordinary_member,openalex,23,0,23,0,0,0.99
ptpp_ordinary_member_0189,Maciejewska Dorota,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0193,Maras Melisa,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0193,Maras Melisa,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0194,Marchlewicz Elżbieta,ordinary_member,pubmed,3,0,3,0,0,0.85
ptpp_ordinary_member_0197,Mazur Joanna,ordinary_member,openalex,68,0,60,8,0,1.0
ptpp_ordinary_member_0197,Mazur Joanna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0199,Mądra Magdalena,ordinary_member,openalex,23,0,23,0,0,0.99
ptpp_ordinary_member_0199,Mądra Magdalena,ordinary_member,pubmed,7,0,7,0,0,0.85
ptpp_ordinary_member_0200,Mądry Jacek,ordinary_member,openalex,13,0,13,0,0,1.04
ptpp_ordinary_member_0200,Mądry Jacek,ordinary_member,pubmed,8,0,8,0,0,0.85
ptpp_ordinary_member_0201,Meller Adriana,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0204,Mikos Anna,ordinary_member,openalex,20,0,20,0,0,0.99
ptpp_ordinary_member_0204,Mikos Anna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0205,Milewski Rafał,ordinary_member,openalex,15,1,12,2,0,1.14
ptpp_ordinary_member_0205,Milewski Rafał,ordinary_member,pubmed,21,0,21,0,0,0.9
ptpp_ordinary_member_0206,Mocek Justyna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0207,Mocek Michał,ordinary_member,openalex,2,0,2,0,0,0.95
ptpp_ordinary_member_0207,Mocek Michał,ordinary_member,pubmed,3,0,3,0,0,0.8
ptpp_ordinary_member_0208,Moczulska Małgorzata,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0208,Moczulska Małgorzata,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0209,Modliński Michał,ordinary_member,pubmed,3,0,3,0,0,0.8
ptpp_ordinary_member_0210,Modrzyńska Dorota,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0211,Morka Małgorzata,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0212,Musiał Maciej,ordinary_member,openalex,25,1,24,0,0,1.15
ptpp_ordinary_member_0212,Musiał Maciej,ordinary_member,pubmed,15,0,15,0,0,0.85
ptpp_ordinary_member_0215,Nicińska Monika,ordinary_member,openalex,3,0,3,0,0,0.95
ptpp_ordinary_member_0217,Niedźwiedzki Jakub,ordinary_member,openalex,7,0,7,0,0,0.99
ptpp_ordinary_member_0217,Niedźwiedzki Jakub,ordinary_member,pubmed,4,0,4,0,0,0.8
ptpp_ordinary_member_0220,Nowak Maria (Warszawa),ordinary_member,pubmed,21,0,20,1,0,0.9
ptpp_ordinary_member_0221,Nowak Maria (Wrocław),ordinary_member,pubmed,21,0,20,1,0,0.9
ptpp_ordinary_member_0224,Ojrzyńska Małgorzata,ordinary_member,openalex,2,0,2,0,0,0.95
ptpp_ordinary_member_0224,Ojrzyńska Małgorzata,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0226,Ołtarzewska Aleksandra,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0229,Orłowska Kinga,ordinary_member,pubmed,7,0,7,0,0,0.8
ptpp_ordinary_member_0233,Pańszczyk Mariola,ordinary_member,pubmed,6,0,6,0,0,0.85
ptpp_ordinary_member_0234,Pasek Marzena,ordinary_member,pubmed,20,0,20,0,0,0.95
ptpp_ordinary_member_0235,Paszkiewicz Ewa,ordinary_member,openalex,24,9,15,0,0,1.1
ptpp_ordinary_member_0235,Paszkiewicz Ewa,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0236,Pawłowska Justyna,ordinary_member,openalex,29,11,18,0,0,1.13
ptpp_ordinary_member_0236,Pawłowska Justyna,ordinary_member,pubmed,16,0,16,0,0,0.9
ptpp_ordinary_member_0239,Piechowska Joanna,ordinary_member,openalex,20,1,19,0,0,1.09
ptpp_ordinary_member_0239,Piechowska Joanna,ordinary_member,pubmed,12,0,12,0,0,0.8
ptpp_ordinary_member_0241,Pietraszek Martyna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0242,Pilinow Aleksandra,ordinary_member,pubmed,1,0,1,0,0,0.85
ptpp_ordinary_member_0245,Pisarska Ewa,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0246,Plata Krystyna,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0246,Plata Krystyna,ordinary_member,pubmed,11,0,11,0,0,0.9
ptpp_ordinary_member_0247,Pniewska Karolina,ordinary_member,openalex,13,1,12,0,0,1.1
ptpp_ordinary_member_0247,Pniewska Karolina,ordinary_member,pubmed,4,0,4,0,0,0.85
ptpp_ordinary_member_0252,Posiewnik Anna,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0255,Prochownik Kinga,ordinary_member,openalex,1,1,0,0,0,1.18
ptpp_ordinary_member_0255,Prochownik Kinga,ordinary_member,pubmed,4,0,4,0,0,0.85
ptpp_ordinary_member_0258,Przybyszewska Sylwia,ordinary_member,openalex,2,0,2,0,0,0.95
ptpp_ordinary_member_0259,Puk Bartosz,ordinary_member,openalex,2,1,1,0,0,1.05
ptpp_ordinary_member_0261,Rafalska Irena,ordinary_member,pubmed,6,0,6,0,0,0.8
ptpp_ordinary_member_0263,Rasińska Anna,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0265,Roczek Katarzyna,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0266,Rogowska-Zach Anna,ordinary_member,openalex,1,0,1,0,0,0.99
ptpp_ordinary_member_0266,Rogowska-Zach Anna,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0270,Rudel Mariola,ordinary_member,pubmed,9,0,9,0,0,0.8
ptpp_ordinary_member_0271,Rutkowska Monika,ordinary_member,openalex,26,2,22,2,0,1.1
ptpp_ordinary_member_0271,Rutkowska Monika,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0275,Sacha Małgorzata,ordinary_member,openalex,31,4,27,0,0,1.1
ptpp_ordinary_member_0275,Sacha Małgorzata,ordinary_member,pubmed,26,0,20,6,0,0.85
ptpp_ordinary_member_0277,Sadowska Małgorzata,ordinary_member,openalex,46,6,40,0,0,1.1
ptpp_ordinary_member_0277,Sadowska Małgorzata,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0278,Sadowski Robert,ordinary_member,openalex,46,0,46,0,0,1.0
ptpp_ordinary_member_0278,Sadowski Robert,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0279,Sala-Hołubowicz Elżbieta,ordinary_member,openalex,3,0,3,0,0,1.0
ptpp_ordinary_member_0281,Schier Katarzyna,ordinary_member,openalex,20,6,14,0,0,1.19
ptpp_ordinary_member_0281,Schier Katarzyna,ordinary_member,pubmed,20,0,20,0,0,0.95
ptpp_ordinary_member_0282,Serdakowski Jarosław,ordinary_member,openalex,2,0,2,0,0,0.95
ptpp_ordinary_member_0284,Sikora-Zych Karolina,ordinary_member,openalex,3,0,3,0,0,1.0
ptpp_ordinary_member_0284,Sikora-Zych Karolina,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0286,Siemińska Anna,ordinary_member,openalex,34,0,34,0,0,1.0
ptpp_ordinary_member_0286,Siemińska Anna,ordinary_member,pubmed,20,0,20,0,0,0.95
ptpp_ordinary_member_0287,Sieniawski Piotr,ordinary_member,openalex,8,0,8,0,0,0.99
ptpp_ordinary_member_0288,Sienkiewicz Danuta,ordinary_member,pubmed,22,0,20,2,0,0.9
ptpp_ordinary_member_0293,Skrzypek Eileen Katarzyna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0295,Smolik Bratysława,ordinary_member,pubmed,4,0,4,0,0,0.8
ptpp_ordinary_member_0296,Sobczak Ewa,ordinary_member,openalex,39,3,29,7,0,1.08
ptpp_ordinary_member_0296,Sobczak Ewa,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0299,Srebrny Krzysztof,ordinary_member,openalex,2,1,1,0,0,1.1
ptpp_ordinary_member_0302,Stanek Janusz,ordinary_member,openalex,1,0,1,0,0,0.99
ptpp_ordinary_member_0302,Stanek Janusz,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0305,Strzałkowska Małgorzata,ordinary_member,openalex,12,0,12,0,0,1.03
ptpp_ordinary_member_0305,Strzałkowska Małgorzata,ordinary_member,pubmed,5,0,5,0,0,0.85
ptpp_ordinary_member_0306,Suchańska Barbara,ordinary_member,openalex,1,0,1,0,0,0.99
ptpp_ordinary_member_0306,Suchańska Barbara,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0308,Supel-Szczerbic Grażyna,ordinary_member,openalex,1,0,1,0,0,1.0
ptpp_ordinary_member_0309,Swinarska-Naumiuk Maria,ordinary_member,openalex,1,0,1,0,0,0.95
ptpp_ordinary_member_0310,Synówka Katarzyna,ordinary_member,openalex,2,2,0,0,0,1.1
ptpp_ordinary_member_0310,Synówka Katarzyna,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0311,Szabłowska Alina,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0313,Szczepańska Olga,ordinary_member,openalex,17,0,17,0,0,1.04
ptpp_ordinary_member_0313,Szczepańska Olga,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0315,Szmalec Małgorzata,ordinary_member,openalex,2,1,1,0,0,1.15
ptpp_ordinary_member_0315,Szmalec Małgorzata,ordinary_member,pubmed,1,0,1,0,0,0.8
ptpp_ordinary_member_0316,Szpak Marta,ordinary_member,openalex,16,3,13,0,0,1.1
ptpp_ordinary_member_0316,Szpak Marta,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0318,Szuster Maria,ordinary_member,pubmed,12,0,12,0,0,0.85
ptpp_ordinary_member_0320,Szymańska Monika,ordinary_member,openalex,77,0,77,0,0,1.04
ptpp_ordinary_member_0320,Szymańska Monika,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0321,Szymczak Joanna,ordinary_member,openalex,51,3,48,0,0,1.1
ptpp_ordinary_member_0321,Szymczak Joanna,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0326,Świątek Anna,ordinary_member,openalex,32,0,31,1,0,1.03
ptpp_ordinary_member_0326,Świątek Anna,ordinary_member,pubmed,17,0,17,0,0,0.9
ptpp_ordinary_member_0327,Świderski Tomasz,ordinary_member,openalex,5,0,5,0,0,1.03
ptpp_ordinary_member_0327,Świderski Tomasz,ordinary_member,pubmed,3,0,3,0,0,0.8
ptpp_ordinary_member_0329,Świerczyńska Justyna,ordinary_member,openalex,18,0,18,0,0,1.04
ptpp_ordinary_member_0329,Świerczyńska Justyna,ordinary_member,pubmed,11,0,11,0,0,0.85
ptpp_ordinary_member_0330,Świtalska Julita,ordinary_member,openalex,10,5,5,0,0,1.2
ptpp_ordinary_member_0330,Świtalska Julita,ordinary_member,pubmed,6,0,6,0,0,0.85
ptpp_ordinary_member_0331,Tartas Małgorzata,ordinary_member,openalex,20,11,9,0,0,1.13
ptpp_ordinary_member_0331,Tartas Małgorzata,ordinary_member,pubmed,20,0,20,0,0,0.8
ptpp_ordinary_member_0335,Tomaszewski Robert,ordinary_member,openalex,55,4,51,0,0,1.15
ptpp_ordinary_member_0335,Tomaszewski Robert,ordinary_member,pubmed,20,0,20,0,0,0.85
ptpp_ordinary_member_0337,Turno Monika,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0338,Turowska Monika,ordinary_member,openalex,3,0,3,0,0,1.03
ptpp_ordinary_member_0340,Tuszewska Maja,ordinary_member,pubmed,2,0,2,0,0,0.8
ptpp_ordinary_member_0341,Tuszewski Tomasz,ordinary_member,pubmed,6,0,6,0,0,0.8
ptpp_ordinary_member_0343,Tyszkiewicz-Bandur Monika,ordinary_member,openalex,8,4,4,0,0,1.1
ptpp_ordinary_member_0343,Tyszkiewicz-Bandur Monika,ordinary_member,pubmed,3,0,3,0,0,0.9
ptpp_ordinary_member_0344,Van Laere Karolina,ordinary_member,openalex,1,0,1,0,0,0.87
ptpp_ordinary_member_0344,Van Laere Karolina,ordinary_member,pubmed,25,0,20,5,0,0.9
ptpp_ordinary_member_0345,Wach Urszula,ordinary_member,openalex,2,0,2,0,0,0.95
ptpp_ordinary_member_0347,Wegner Emilia,ordinary_member,openalex,7,2,5,0,0,1.2
ptpp_ordinary_member_0347,Wegner Emilia,ordinary_member,pubmed,20,0,20,0,0,0.9
ptpp_ordinary_member_0351,Wieczorek Sylwia,ordinary_member,openalex,2,0,1,1,0,0.99
ptpp_ordinary_member_0351,Wieczorek Sylwia,ordinary_member,pubmed,20,0,20,0,0,0.9
