candidate_publication_id,source_database,source_record_id,doi,title,year,publication_type,journal_or_source,publisher,url,language,abstract_present,abstract_text,keywords,raw_json_path
f32070624c8a3f52856c,openalex,https://openalex.org/W7144030158,10.1016/j.bbrc.2026.153698,"Effects of resveratrol and nanodiamonds on sirtuin activity, oxidative stress and DNA damage in Acheta domesticus",2026,article,Biochemical and Biophysical Research Communications,Elsevier BV,https://openalex.org/W7144030158,en,False,,Sirtuin; Acheta; Resveratrol; DNA damage; SIRT2; Oxidative stress; Sirtuin 1; DNA,data_intermediate\raw_api_json\f32070624c8a3f52856c.json
05771719e18d9ded108d,openalex,https://openalex.org/W7138996227,10.3390/ijms27062786,Evaluation of Molecular Responses and Longevity Markers in Acheta domesticus Following Combined Resveratrol and Nanodiamond Exposure,2026,article,International Journal of Molecular Sciences,Multidisciplinary Digital Publishing Institute,https://openalex.org/W7138996227,en,False,,Acheta; Resveratrol; Oxidative stress; Sirtuin; DNA damage; SIRT2; Longevity; Sirtuin 1; Antioxidant,data_intermediate\raw_api_json\05771719e18d9ded108d.json
b099e831b77a28b62beb,openalex,https://openalex.org/W7118681278,10.1016/j.ecoenv.2025.119595,Earthworms reduce the accumulation of soil-borne pathogens in strawberry by altering the gut microbiome and physiological characteristics,2026,article,Ecotoxicology and Environmental Safety,Elsevier BV,https://openalex.org/W7118681278,en,False,,Earthworm; Fusarium oxysporum; Pathogenic bacteria; Rhizosphere; Microbiome; Abiotic component; Host (biology); Microbial population biology,data_intermediate\raw_api_json\b099e831b77a28b62beb.json
e6790bf8f41a0b2ffa10,openalex,https://openalex.org/W4416602394,10.1038/s41598-025-08578-y,"Insights into the pathophysiological, molecular, and ultrastructural alterations induced by cadmium oxide nanoparticle toxicity in the midgut of Galleria mellonella",2025,article,Scientific Reports,Nature Portfolio,https://openalex.org/W4416602394,en,False,,Midgut; Galleria mellonella; DNA damage; Oxidative stress; Toxicity; Genotoxicity; Programmed cell death; Ultrastructure; Cadmium,data_intermediate\raw_api_json\e6790bf8f41a0b2ffa10.json
c8329b6207f3eb462947,openalex,https://openalex.org/W4410360095,10.1080/17435390.2025.2500430,Effects on digestive enzyme activities in the house crickets <i>Acheta domesticus</i> exposed to graphene oxide in food for several generations,2025,article,Nanotoxicology,Taylor & Francis,https://openalex.org/W4410360095,en,False,,Acheta; Graphene; Biology; Orthoptera; Zoology; Food science; Ecology; Toxicology; Materials science; Nanotechnology; Cricket,data_intermediate\raw_api_json\c8329b6207f3eb462947.json
063d8be933d29ec7fcf3,openalex,https://openalex.org/W4410200176,10.1016/j.ecoenv.2025.118289,"The effects of tread rubber and road dust particles on stress, immunity and digestive biomarkers in the larvae of the mealworm Tenebrio molitor",2025,article,Ecotoxicology and Environmental Safety,Elsevier BV,https://openalex.org/W4410200176,en,False,,Mealworm; Tread; Larva; Microplastics; Natural rubber; Immunity; Biology; Zoology; Food science; Chemistry; Ecology; Immune system; Immunology,data_intermediate\raw_api_json\063d8be933d29ec7fcf3.json
83dd808f08a685a7581d,openalex,https://openalex.org/W4409394050,10.1038/s41598-025-97589-w,Concentration-dependent disturbances of digestive functions in house cricket (Insecta: Orthoptera) exposed to GO-AgNP composite,2025,article,Scientific Reports,Nature Portfolio,https://openalex.org/W4409394050,en,False,,Acheta; Digestive enzyme; Oxidative stress; Enzyme assay; Biology; Enzyme; Chemistry; Biochemistry; Cricket; Ecology; Amylase,data_intermediate\raw_api_json\83dd808f08a685a7581d.json
c0b25bd0a058698b617b,openalex,https://openalex.org/W4403980074,10.1016/j.chemosphere.2024.143641,Adult young as the fragile ontogenetic stage of the house crickets dietary exposed to GO nanoparticles – digestive enzymes perspective,2024,article,Chemosphere,Elsevier BV,https://openalex.org/W4403980074,en,False,,Ontogeny; Perspective (graphical); Biology; Developmental stage; Zoology; Ecology; Psychology; Developmental psychology; Endocrinology; Art,data_intermediate\raw_api_json\c0b25bd0a058698b617b.json
e752b94ff631e6e2a4f7,openalex,https://openalex.org/W4403711177,10.1016/j.bbrc.2024.150898,"Graphene oxide in low concentrations can change mitochondrial potential, autophagy, and apoptosis paths in two strains of invertebrates with different life strategies",2024,article,Biochemical and Biophysical Research Communications,Elsevier BV,https://openalex.org/W4403711177,en,False,,Autophagy; Invertebrate; Apoptosis; Mitochondrion; Cell biology; Oxide; Biology; Graphene; Chemistry; Zoology; Biochemistry; Ecology; Nanotechnology; Materials science,data_intermediate\raw_api_json\e752b94ff631e6e2a4f7.json
dc367741f2a07b8e6b2d,openalex,https://openalex.org/W4402950938,10.1016/j.microc.2024.111800,Liquid chromatography–mass spectrometry profiling of propolis and royal jelly and their ameliorative effects on cadmium-instigated pathological consequences in ovarian tissues of rats,2024,article,Microchemical Journal,Elsevier BV,https://openalex.org/W4402950938,en,False,,Propolis; Chromatography; Chemistry; Pathological; Cadmium; Mass spectrometry; Liquid chromatography–mass spectrometry; Medicine; Food science; Internal medicine,data_intermediate\raw_api_json\dc367741f2a07b8e6b2d.json
21a3e87952ed87e63a80,openalex,https://openalex.org/W4402924499,10.3390/molecules29194594,Ascorbic Acid and Graphene Oxide Exposure in the Model Organism Acheta domesticus Can Change the Reproduction Potential,2024,article,Molecules,Multidisciplinary Digital Publishing Institute,https://openalex.org/W4402924499,en,False,,Acheta; Ascorbic acid; Organism; Reproduction; Graphene; Model organism; Biology; Chemistry; Zoology; Biochemistry; Ecology; Food science; Nanotechnology; Genetics; Materials science,data_intermediate\raw_api_json\21a3e87952ed87e63a80.json
8de4f7ac4aac0e7ceab1,openalex,https://openalex.org/W4401794183,10.1007/s11356-024-34673-0,"Efficacy of propolis and royal jelly in attenuating cadmium-induced spermatogenesis and steroidogenesis dysregulation, causing infertility in rats",2024,article,Environmental Science and Pollution Research,Springer Science+Business Media,https://openalex.org/W4401794183,en,False,,Propolis; Internal medicine; Endocrinology; Luteinizing hormone; Glutathione reductase; Lipid peroxidation; Superoxide dismutase; Hormone; Antioxidant; Glutathione peroxidase; Biology; Male infertility; Genotoxicity; Oxidative stress; Andrology; Infertility; Medicine; Biochemistry; Toxicity,data_intermediate\raw_api_json\8de4f7ac4aac0e7ceab1.json
5f9d0066abbd46d08cb7,openalex,https://openalex.org/W4401207745,10.3390/insects15080588,Impacts of Combining Steinernema carpocapsae and Bracon hebetor Parasitism on Galleria mellonella Larvae,2024,article,Insects,Multidisciplinary Digital Publishing Institute,https://openalex.org/W4401207745,en,False,,Galleria mellonella; Biology; Superoxide dismutase; Malondialdehyde; Microbiology; Toxocara canis; Hemolymph; Botany; Oxidative stress; Biochemistry,data_intermediate\raw_api_json\5f9d0066abbd46d08cb7.json
4ee9d68bbd4e1a0f42de,openalex,https://openalex.org/W4401110150,10.69998/j2br1,Antiviral Activities of Compounds Derived from Medicinal Plants against SARS-CoV-2 Based on Molecular Docking of Proteases,2024,article,Journal of Biology and Biomedical Research. /$c Fatima Zohra Rezouki,,https://openalex.org/W4401110150,en,False,,Proteases; Chemistry; Docking (animal); Protease; Phytochemical; Organosulfur compounds; Biochemistry; Polyphenol; Enzyme; Stereochemistry; Antioxidant; Organic chemistry,data_intermediate\raw_api_json\4ee9d68bbd4e1a0f42de.json
2368dc1b5cae42ea379e,openalex,https://openalex.org/W4400724074,10.3390/pathogens13070595,"Correction: Elwakil et al. Memory Impairment, Pro-Inflammatory Host Response and Brain Histopathologic Severity in Rats Infected with K. pneumoniae or P. aeruginosa Meningitis. Pathogens 2022, 11, 933",2024,erratum,Pathogens,Multidisciplinary Digital Publishing Institute,https://openalex.org/W4400724074,en,False,,Meningitis; Host response; Inflammatory response; Medicine; Immunology; Inflammation; Immune system; Psychiatry,data_intermediate\raw_api_json\2368dc1b5cae42ea379e.json
