person_id,full_name_canonical_ptpp_order,surname_guess,given_names_guess,normalized_person_key,membership_categories,source_page_keys,source_urls,source_attributes,membership_occurrence_count,duplicate_name_flag,snapshot_date_utc,disambiguation_status,manual_review_flag
ptpp_person_b8ceff56b9de,Delegacje i Grupy Robocze,Delegacje i Grupy,Robocze,delegacje i grupy robocze,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_744eea328583,Gdzie się szkolić,Gdzie się,szkolić,gdzie sie szkolic,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_bfbd0fb25d94,Jak zacząć szkolenie,Jak zacząć,szkolenie,jak zaczac szkolenie,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_16bc2635e462,Kluby filmowe i teatralne,Kluby filmowe i,teatralne,kluby filmowe i teatralne,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_9bfb3c3e1eef,Komisja Etyki i standardy,Komisja Etyki i,standardy,komisja etyki i standardy,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_6128679712e8,Małopolsko – Podkarpacki,Małopolsko –,Podkarpacki,ma opolsko podkarpacki,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp,candidates;certified_therapists;extraordinary_members,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/,,3,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_2c793de376d0,O certyfikatach,O,certyfikatach,o certyfikatach,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_88a7444f760c,O nas – mapa PTPP,O nas – mapa,PTPP,o nas mapa ptpp,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp,candidates;certified_therapists;extraordinary_members,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/,,3,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_bd2ed0eb47dd,O szkoleniu,O,szkoleniu,o szkoleniu,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
ptpp_person_2a539366d745,O terapii,O,terapii,o terapii,candidate_ptpp;certified_therapist_ptpp;extraordinary_member_ptpp;supervisor_ptpp,candidates;certified_therapists;extraordinary_members;supervisors,https://ptpp.pl/certyfikowane-i-terapeutki-i-terapeuci-psychoanalityczne-i-ptpp/;https://ptpp.pl/czlonkinie-i-czlonkowie-nadzwyczajne-i-ptpp/;https://ptpp.pl/kandydatki-i-kandydaci-ptpp/;https://ptpp.pl/o-nas/superwizorki-i-superwizorzy-ptpp/,,4,yes,2026-06-17T06:32:02+00:00,not_started,
